project	revision	relative	size	sha256
platform/bionic	361ba86734fb2821a6adcfdf775db8abd04e0de0	libc/dns/net/getaddrinfo.c	61457	2ebeccfd986134c281cb127002f9040f72bc17990af0fbfa022be1ce97846a9d
platform/bionic	361ba86734fb2821a6adcfdf775db8abd04e0de0	libc/dns/net/getnameinfo.c	12316	fccfba664e0d9511495b0ab784fa72c8e5ee7fc221bb6cb50ab10e9c246bb6e7
platform/bionic	361ba86734fb2821a6adcfdf775db8abd04e0de0	libc/bionic/netdb.cpp	1990	b46321920fbb338a2ab545344fecc1b1eacd29f2e6672358de388f99ca0dcfcd
platform/bionic	361ba86734fb2821a6adcfdf775db8abd04e0de0	libc/include/netdb.h	10741	577e9d822c630f7c9bf5901297b7373de0a454f9869417d5b2fdf8dee25a2666
