number	audit	status	name	source	line
182	AUE_NULL	STD	linux_mq_timedsend	sys/arm64/linux/syscalls.master	1096
183	AUE_NULL	STD	linux_mq_timedreceive	sys/arm64/linux/syscalls.master	1105
184	AUE_NULL	STD	linux_mq_notify	sys/arm64/linux/syscalls.master	1114
185	AUE_NULL	STD	linux_mq_getsetattr	sys/arm64/linux/syscalls.master	1120
186	AUE_NULL	STD	linux_msgget	sys/arm64/linux/syscalls.master	1127
187	AUE_NULL	STD	linux_msgctl	sys/arm64/linux/syscalls.master	1133
188	AUE_NULL	STD	linux_msgrcv	sys/arm64/linux/syscalls.master	1140
189	AUE_NULL	STD	linux_msgsnd	sys/arm64/linux/syscalls.master	1149
190	AUE_NULL	STD	linux_semget	sys/arm64/linux/syscalls.master	1157
191	AUE_NULL	STD	linux_semctl	sys/arm64/linux/syscalls.master	1164
192	AUE_NULL	STD	linux_semtimedop	sys/arm64/linux/syscalls.master	1172
193	AUE_NULL	NOPROTO	semop	sys/arm64/linux/syscalls.master	1180
194	AUE_NULL	STD	linux_shmget	sys/arm64/linux/syscalls.master	1187
195	AUE_NULL	STD	linux_shmctl	sys/arm64/linux/syscalls.master	1194
196	AUE_NULL	STD	linux_shmat	sys/arm64/linux/syscalls.master	1201
197	AUE_NULL	STD	linux_shmdt	sys/arm64/linux/syscalls.master	1208
198	AUE_SOCKET	STD	linux_socket	sys/arm64/linux/syscalls.master	1213
199	AUE_SOCKETPAIR	STD	linux_socketpair	sys/arm64/linux/syscalls.master	1220
200	AUE_BIND	STD	linux_bind	sys/arm64/linux/syscalls.master	1228
201	AUE_LISTEN	STD	linux_listen	sys/arm64/linux/syscalls.master	1235
202	AUE_ACCEPT	STD	linux_accept	sys/arm64/linux/syscalls.master	1241
203	AUE_CONNECT	STD	linux_connect	sys/arm64/linux/syscalls.master	1248
204	AUE_GETSOCKNAME	STD	linux_getsockname	sys/arm64/linux/syscalls.master	1255
205	AUE_GETPEERNAME	STD	linux_getpeername	sys/arm64/linux/syscalls.master	1262
206	AUE_SENDTO	STD	linux_sendto	sys/arm64/linux/syscalls.master	1269
207	AUE_RECVFROM	STD	linux_recvfrom	sys/arm64/linux/syscalls.master	1279
208	AUE_SETSOCKOPT	STD	linux_setsockopt	sys/arm64/linux/syscalls.master	1289
209	AUE_GETSOCKOPT	STD	linux_getsockopt	sys/arm64/linux/syscalls.master	1298
210	AUE_NULL	STD	linux_shutdown	sys/arm64/linux/syscalls.master	1307
211	AUE_SENDMSG	STD	linux_sendmsg	sys/arm64/linux/syscalls.master	1313
212	AUE_RECVMSG	STD	linux_recvmsg	sys/arm64/linux/syscalls.master	1320
213	AUE_NULL	UNIMPL	linux_readahead	sys/arm64/linux/syscalls.master	1327
214	AUE_NULL	STD	linux_brk	sys/arm64/linux/syscalls.master	1328
215	AUE_MUNMAP	NOPROTO	munmap	sys/arm64/linux/syscalls.master	1333
216	AUE_NULL	STD	linux_mremap	sys/arm64/linux/syscalls.master	1339
217	AUE_NULL	STD	linux_add_key	sys/arm64/linux/syscalls.master	1348
218	AUE_NULL	STD	linux_request_key	sys/arm64/linux/syscalls.master	1351
219	AUE_NULL	STD	linux_keyctl	sys/arm64/linux/syscalls.master	1354
220	AUE_RFORK	STD	linux_clone	sys/arm64/linux/syscalls.master	1357
221	AUE_EXECVE	STD	linux_execve	sys/arm64/linux/syscalls.master	1366
222	AUE_MMAP	STD	linux_mmap2	sys/arm64/linux/syscalls.master	1373
223	AUE_NULL	STD	linux_fadvise64	sys/arm64/linux/syscalls.master	1383
224	AUE_SWAPON	NOPROTO	swapon	sys/arm64/linux/syscalls.master	1391
225	AUE_SWAPOFF	STD	linux_swapoff	sys/arm64/linux/syscalls.master	1396
226	AUE_MPROTECT	STD	linux_mprotect	sys/arm64/linux/syscalls.master	1399
227	AUE_MSYNC	STD	linux_msync	sys/arm64/linux/syscalls.master	1406
228	AUE_MLOCK	NOPROTO	mlock	sys/arm64/linux/syscalls.master	1413
229	AUE_MUNLOCK	NOPROTO	munlock	sys/arm64/linux/syscalls.master	1419
230	AUE_MLOCKALL	NOPROTO	mlockall	sys/arm64/linux/syscalls.master	1425
231	AUE_MUNLOCKALL	NOPROTO	munlockall	sys/arm64/linux/syscalls.master	1430
232	AUE_MINCORE	STD	linux_mincore	sys/arm64/linux/syscalls.master	1433
233	AUE_MADVISE	STD	linux_madvise	sys/arm64/linux/syscalls.master	1440
234	AUE_NULL	STD	linux_remap_file_pages	sys/arm64/linux/syscalls.master	1447
235	AUE_NULL	STD	linux_mbind	sys/arm64/linux/syscalls.master	1450
236	AUE_NULL	STD	linux_get_mempolicy	sys/arm64/linux/syscalls.master	1453
237	AUE_NULL	STD	linux_set_mempolicy	sys/arm64/linux/syscalls.master	1456
238	AUE_NULL	STD	linux_migrate_pages	sys/arm64/linux/syscalls.master	1459
239	AUE_NULL	STD	linux_move_pages	sys/arm64/linux/syscalls.master	1462
240	AUE_NULL	STD	linux_rt_tgsigqueueinfo	sys/arm64/linux/syscalls.master	1465
241	AUE_NULL	STD	linux_perf_event_open	sys/arm64/linux/syscalls.master	1473
242	AUE_ACCEPT	STD	linux_accept4	sys/arm64/linux/syscalls.master	1476
243	AUE_NULL	STD	linux_recvmmsg	sys/arm64/linux/syscalls.master	1484
260	AUE_WAIT4	STD	linux_wait4	sys/arm64/linux/syscalls.master	1494
261	AUE_NULL	STD	linux_prlimit64	sys/arm64/linux/syscalls.master	1502
262	AUE_NULL	STD	linux_fanotify_init	sys/arm64/linux/syscalls.master	1510
263	AUE_NULL	STD	linux_fanotify_mark	sys/arm64/linux/syscalls.master	1513
264	AUE_NULL	STD	linux_name_to_handle_at	sys/arm64/linux/syscalls.master	1516
265	AUE_NULL	STD	linux_open_by_handle_at	sys/arm64/linux/syscalls.master	1525
266	AUE_NULL	STD	linux_clock_adjtime	sys/arm64/linux/syscalls.master	1532
267	AUE_SYNC	STD	linux_syncfs	sys/arm64/linux/syscalls.master	1535
268	AUE_NULL	STD	linux_setns	sys/arm64/linux/syscalls.master	1540
269	AUE_NULL	STD	linux_sendmmsg	sys/arm64/linux/syscalls.master	1546
270	AUE_NULL	STD	linux_process_vm_readv	sys/arm64/linux/syscalls.master	1554
271	AUE_NULL	STD	linux_process_vm_writev	sys/arm64/linux/syscalls.master	1564
272	AUE_NULL	STD	linux_kcmp	sys/arm64/linux/syscalls.master	1574
273	AUE_NULL	STD	linux_finit_module	sys/arm64/linux/syscalls.master	1583
274	AUE_NULL	STD	linux_sched_setattr	sys/arm64/linux/syscalls.master	1590
275	AUE_NULL	STD	linux_sched_getattr	sys/arm64/linux/syscalls.master	1597
276	AUE_NULL	STD	linux_renameat2	sys/arm64/linux/syscalls.master	1605
277	AUE_NULL	STD	linux_seccomp	sys/arm64/linux/syscalls.master	1614
278	AUE_NULL	STD	linux_getrandom	sys/arm64/linux/syscalls.master	1621
279	AUE_NULL	STD	linux_memfd_create	sys/arm64/linux/syscalls.master	1628
280	AUE_NULL	STD	linux_bpf	sys/arm64/linux/syscalls.master	1634
281	AUE_NULL	STD	linux_execveat	sys/arm64/linux/syscalls.master	1641
282	AUE_NULL	STD	linux_userfaultfd	sys/arm64/linux/syscalls.master	1650
283	AUE_NULL	STD	linux_membarrier	sys/arm64/linux/syscalls.master	1655
284	AUE_NULL	STD	linux_mlock2	sys/arm64/linux/syscalls.master	1662
285	AUE_NULL	STD	linux_copy_file_range	sys/arm64/linux/syscalls.master	1669
286	AUE_NULL	STD	linux_preadv2	sys/arm64/linux/syscalls.master	1679
287	AUE_NULL	STD	linux_pwritev2	sys/arm64/linux/syscalls.master	1689
288	AUE_NULL	STD	linux_pkey_mprotect	sys/arm64/linux/syscalls.master	1699
289	AUE_NULL	STD	linux_pkey_alloc	sys/arm64/linux/syscalls.master	1707
290	AUE_NULL	STD	linux_pkey_free	sys/arm64/linux/syscalls.master	1713
291	AUE_NULL	STD	linux_statx	sys/arm64/linux/syscalls.master	1719
292	AUE_NULL	STD	linux_io_pgetevents	sys/arm64/linux/syscalls.master	1729
293	AUE_NULL	STD	linux_rseq	sys/arm64/linux/syscalls.master	1732
294	AUE_NULL	STD	linux_kexec_file_load	sys/arm64/linux/syscalls.master	1740
424	AUE_NULL	STD	linux_pidfd_send_signal	sys/arm64/linux/syscalls.master	1745
425	AUE_NULL	STD	linux_io_uring_setup	sys/arm64/linux/syscalls.master	1753
426	AUE_NULL	STD	linux_io_uring_enter	sys/arm64/linux/syscalls.master	1756
427	AUE_NULL	STD	linux_io_uring_register	sys/arm64/linux/syscalls.master	1759
428	AUE_NULL	STD	linux_open_tree	sys/arm64/linux/syscalls.master	1763
429	AUE_NULL	STD	linux_move_mount	sys/arm64/linux/syscalls.master	1766
430	AUE_NULL	STD	linux_fsopen	sys/arm64/linux/syscalls.master	1769
431	AUE_NULL	STD	linux_fsconfig	sys/arm64/linux/syscalls.master	1772
432	AUE_NULL	STD	linux_fsmount	sys/arm64/linux/syscalls.master	1775
433	AUE_NULL	STD	linux_fspick	sys/arm64/linux/syscalls.master	1778
434	AUE_NULL	STD	linux_pidfd_open	sys/arm64/linux/syscalls.master	1782
435	AUE_NULL	STD	linux_clone3	sys/arm64/linux/syscalls.master	1785
436	AUE_CLOSERANGE	STD	linux_close_range	sys/arm64/linux/syscalls.master	1792
437	AUE_NULL	STD	linux_openat2	sys/arm64/linux/syscalls.master	1800
438	AUE_NULL	STD	linux_pidfd_getfd	sys/arm64/linux/syscalls.master	1803
439	AUE_NULL	STD	linux_faccessat2	sys/arm64/linux/syscalls.master	1807
440	AUE_NULL	STD	linux_process_madvise	sys/arm64/linux/syscalls.master	1816
441	AUE_NULL	STD	linux_epoll_pwait2	sys/arm64/linux/syscalls.master	1820
442	AUE_NULL	STD	linux_mount_setattr	sys/arm64/linux/syscalls.master	1831
443	AUE_NULL	STD	linux_quotactl_fd	sys/arm64/linux/syscalls.master	1835
444	AUE_NULL	STD	linux_landlock_create_ruleset	sys/arm64/linux/syscalls.master	1839
445	AUE_NULL	STD	linux_landlock_add_rule	sys/arm64/linux/syscalls.master	1842
446	AUE_NULL	STD	linux_landlock_restrict_self	sys/arm64/linux/syscalls.master	1845
447	AUE_NULL	STD	linux_memfd_secret	sys/arm64/linux/syscalls.master	1849
448	AUE_NULL	STD	linux_process_mrelease	sys/arm64/linux/syscalls.master	1853
449	AUE_NULL	STD	linux_futex_waitv	sys/arm64/linux/syscalls.master	1857
450	AUE_NULL	STD	linux_set_mempolicy_home_node	sys/arm64/linux/syscalls.master	1861
451	AUE_NULL	STD	linux_cachestat	sys/arm64/linux/syscalls.master	1865
452	AUE_NULL	STD	linux_fchmodat2	sys/arm64/linux/syscalls.master	1869
