domain	name	expression	value	source	line
socket	LINUX_SO_OOBINLINE	10	10	sys/compat/linux/linux_socket.h	174
socket	LINUX_SO_PASSCRED	16	16	sys/compat/linux/linux_socket.h	180
socket	LINUX_SO_PASSRIGHTS	83	83	sys/compat/linux/linux_socket.h	198
socket	LINUX_SO_PEERCRED	17	17	sys/compat/linux/linux_socket.h	181
socket	LINUX_SO_PEERGROUPS	59	59	sys/compat/linux/linux_socket.h	197
socket	LINUX_SO_PEERSEC	31	31	sys/compat/linux/linux_socket.h	192
socket	LINUX_SO_PRIORITY	12	12	sys/compat/linux/linux_socket.h	176
socket	LINUX_SO_PROTOCOL	38	38	sys/compat/linux/linux_socket.h	195
socket	LINUX_SO_RCVBUF	8	8	sys/compat/linux/linux_socket.h	172
socket	LINUX_SO_RCVBUFFORCE	33	33	sys/compat/linux/linux_socket.h	194
socket	LINUX_SO_RCVLOWAT	18	18	sys/compat/linux/linux_socket.h	182
socket	LINUX_SO_RCVTIMEO	20	20	sys/compat/linux/linux_socket.h	184
socket	LINUX_SO_REUSEADDR	2	2	sys/compat/linux/linux_socket.h	166
socket	LINUX_SO_REUSEPORT	15	15	sys/compat/linux/linux_socket.h	178
socket	LINUX_SO_SNDBUF	7	7	sys/compat/linux/linux_socket.h	171
socket	LINUX_SO_SNDBUFFORCE	32	32	sys/compat/linux/linux_socket.h	193
socket	LINUX_SO_SNDLOWAT	19	19	sys/compat/linux/linux_socket.h	183
socket	LINUX_SO_SNDTIMEO	21	21	sys/compat/linux/linux_socket.h	185
socket	LINUX_SO_TIMESTAMPN	63	63	sys/compat/linux/linux_socket.h	188
socket	LINUX_SO_TIMESTAMPNSN	64	64	sys/compat/linux/linux_socket.h	190
socket	LINUX_SO_TIMESTAMPNSO	35	35	sys/compat/linux/linux_socket.h	189
socket	LINUX_SO_TIMESTAMPO	29	29	sys/compat/linux/linux_socket.h	187
socket	LINUX_SO_TYPE	3	3	sys/compat/linux/linux_socket.h	167
socket	LINUX_TCP_CORK	3	3	sys/compat/linux/linux_socket.h	320
socket	LINUX_TCP_INFO	11	11	sys/compat/linux/linux_socket.h	324
socket	LINUX_TCP_KEEPCNT	6	6	sys/compat/linux/linux_socket.h	323
socket	LINUX_TCP_KEEPIDLE	4	4	sys/compat/linux/linux_socket.h	321
socket	LINUX_TCP_KEEPINTVL	5	5	sys/compat/linux/linux_socket.h	322
socket	LINUX_TCP_MAXSEG	2	2	sys/compat/linux/linux_socket.h	319
socket	LINUX_TCP_MD5SIG	14	14	sys/compat/linux/linux_socket.h	325
socket	LINUX_TCP_NODELAY	1	1	sys/compat/linux/linux_socket.h	318
socket	LINUX_TCP_USER_TIMEOUT	18	18	sys/compat/linux/linux_socket.h	326
