domain	symbol	role	reuse	source	line
mmap	linux_mmap_check_fp	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_mmap.c	63
mmap	linux_mmap_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_mmap.c	78
mmap	linux_mprotect_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_mmap.c	230
open-file-path	bsd_to_linux_flock	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1284
open-file-path	bsd_to_linux_flock64	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1341
open-file-path	linux_access	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	644
open-file-path	linux_chdir	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	756
open-file-path	linux_chmod	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	764
open-file-path	linux_chown	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1585
open-file-path	linux_close_range	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1874
open-file-path	linux_common_open	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	158
open-file-path	linux_common_openflags	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	110
open-file-path	linux_copy_file_range	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1776
open-file-path	linux_creat	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	101
open-file-path	linux_do_accessat	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	657
open-file-path	linux_dup3	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1734
open-file-path	linux_enobufs2eagain	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1900
open-file-path	linux_faccessat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	671
open-file-path	linux_faccessat2	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	679
open-file-path	linux_fadvise64	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1646
open-file-path	linux_fadvise64_64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1665
open-file-path	linux_fallocate	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1753
open-file-path	linux_fchmodat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	773
open-file-path	linux_fchownat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1594
